,id,tags,category,view,likes,comments,Title,datePublished
303,TGHcSJS47_Q,"['English', 'Humanities', 'Philosophy', 'TEDxTalks', '[TEDxEID:48720]']",29,1208,10,1,Mirror: Looking as the Other | Yuchen Zhou | TEDxYouth@JZIB,2022-07-01T16:50:10Z
304,VnJSpcP3mOg,"['English', 'Gender', 'Global Issues', 'TEDxTalks', '[TEDxEID:48720]']",29,907,21,2,Confession from a young feminist | Xuchun Wang | TEDxYouth@JZIB,2022-07-01T16:49:52Z
305,YVdwUsImAf0,"['English', 'Global Issues', 'Media', 'TEDxTalks', '[TEDxEID:48720]']",29,851,4,1,Our aesthetic preferences for visual media | Ruining Zhu | TEDxYouth@JZIB,2022-07-01T16:49:38Z
306,ANao9rN1WY8,"['Economics', 'English', 'Social Sciences', 'TEDxTalks', '[TEDxEID:48720]']",29,936,7,2,"Mirror of economics, how to see the market | Yihao Zhang | TEDxYouth@JZIB",2022-07-01T16:49:27Z
307,k2AF0LUUUx4,"['English', 'Life', 'Philosophy', 'TEDxTalks', '[TEDxEID:48720]']",29,840,7,1,Oneself in the mirror | Kairui Ying | TEDxYouth@JZIB,2022-07-01T16:49:18Z
308,_TxakFN0yps,"['English', 'Humanities', 'Philosophy', 'TEDxTalks', '[TEDxEID:48720]']",29,736,2,0,Hume's Problem And How We Might ‘Solve’ It | Ruixiang Wang | TEDxYouth@JZIB,2022-07-01T16:48:50Z
309,qysQ0E9larE,"['Conservation', 'Education', 'Empathy', 'Family', 'Personal growth', 'Poetry', 'Social Interaction', 'Spanish', 'TEDxTalks', '[TEDxEID:39501]']",29,1115,39,1,"""Gracias a las palabras que no dejas pasar"" | Beatriz Armillas | TEDxCadizUniversity",2022-07-01T16:48:48Z
310,Y65k0limwpg,"['Acceptance', 'Behavior', 'Change', 'English', 'Life', 'Self improvement', 'TEDxTalks', '[TEDxEID:48607]']",29,1630,29,3,Belonging is longing to be me | Charmaine Pandya | TEDxUWCSEAEast,2022-07-01T16:47:59Z
311,-IwTSctGXgg,"['Activism', 'Art', 'English', 'Entertainment', 'Law', 'TEDxTalks', 'Theater', '[TEDxEID:51544]']",29,312,4,0,The Hidden Role of Arts in Society | Brooke Ishibashi & Matthew-Lee Erlbach | TEDxSantaBarbaraSalon,2022-07-01T16:47:55Z
312,NhOrSAlfkL0,"['Activism', 'Disability', 'Education', 'English', 'Software', 'TEDxTalks', 'Technology', '[TEDxEID:47594]']",29,450,11,1,Accessible technology for all | Sushil Adhikari | TEDxKathmanduUniversity,2022-07-01T16:47:11Z
313,wdXQTYwAqQU,"['Education', 'English', 'Life', 'Life Development', 'Struggle', 'TEDxTalks', '[TEDxEID:48607]']",29,819,16,1,How to escape fate and conquer it | Jeslyn Jerota | TEDxUWCSEAEast,2022-07-01T16:40:01Z
314,PGp9BQiIqNw,"['Dreams', 'English', 'Happiness', 'Life', 'Motivation', 'Self-help', 'Success', 'TEDxTalks', '[TEDxEID:50110]']",29,1406,47,7,Life is a Carousel | Farid Martinez | TEDxDallasCollege,2022-07-01T16:38:50Z
315,dc6gVyWgxsc,"['English', 'Life', 'Mental health', 'Motivation', 'Personal growth', 'Psychology', 'Purpose', 'Self improvement', 'TEDxTalks', '[TEDxEID:50110]']",29,1412,56,3,Think and Act Big: The Art of Personal Resurgence | Jose Daniel Juarez Pereira | TEDxDallasCollege,2022-07-01T16:38:29Z
316,o9UptmuZHYw,"['Children', 'Early education', 'Education', 'English', 'Schools', 'Students', 'TEDxTalks', 'Teaching', '[TEDxEID:51018]']",29,718,24,5,Special Ed For Special Kids | Swami Lalitananda | TEDxYouth@SSVM,2022-07-01T16:35:55Z
